 Loop #    Energy
           1   7.0678040392572941     
           2   4.6452444389844301     
           2   4.6423104635249199     
           3   2.3105973606335626     
           3   2.3105968339423910     
           3   2.3105875827426856     
           3   1.5402794085887210     
           4   1.5402683147413436     
           4   1.5402683147413423     
           4   1.5402683147413407     
           4   1.5402683147413387     
           4   1.5402029597147657     
           4  9.47403780270454215E-002
           5  9.47009258364384515E-002
           5  9.47008313348366715E-002
           5  9.47004679005603589E-002
           5  9.46977261571112366E-002
           5  8.99489052047511978E-002
           6  8.99454990937109955E-002
           6  8.99453462639814710E-002
           6  8.99452996647569503E-002
           7  8.99451295637959530E-002
           7  8.99451295637958281E-002
           7  8.99451295637957032E-002
           8  8.99451295637956755E-002
           8  8.99451295637956477E-002
           8  8.99451295637955367E-002
           9  8.99451295637955228E-002
           9  8.99451295637954257E-002
